dataset,alpha,seed,fold,accuracy,macro_f1,auc,set_redundancy,weighted_redundancy
Wine,0.4,42,1,0.7415384615384616,0.7182160910998088,0.8002030206000952,0.24478904535766594,0.17135388121535414
Wine,0.6,42,1,0.7446153846153846,0.7190718696951709,0.7985778368753677,0.24478904535766594,0.1495436360177395
Wine,0.8,42,1,0.7438461538461538,0.7208665324195243,0.7971780900779732,0.23790855503152927,0.12880681770814467
Wine,1.0,42,1,0.7384615384615385,0.7128855907541365,0.8032215828474338,0.20555957190457047,0.11285770967345177
Wine,0.0,42,2,0.7598152424942263,0.7408975834292291,0.8019403510382714,0.24478904535766594,0.17827269051936787
Wine,0.2,42,2,0.7598152424942263,0.7356159879761401,0.8031849505475728,0.24478904535766594,0.16917296773316576
Wine,0.4,42,2,0.76058506543495,0.7360558217936279,0.8066662586012538,0.24478904535766594,0.15897147933671749
Wine,0.6,42,2,0.7505773672055427,0.7262830117999626,0.796514356251307,0.24478904535766594,0.13933789004857894
Wine,0.8,42,2,0.7505773672055427,0.7279011311269376,0.7970588685366263,0.23790855503152927,0.13406484363505586
Wine,1.0,42,2,0.7513471901462664,0.7318827197375426,0.799352961279693,0.23790855503152927,0.1230468549755798
Wine,0.0,42,3,0.7467282525019245,0.7266569747175722,0.8065553158171254,0.24478904535766594,0.1646053483672142
Wine,0.2,42,3,0.745958429561201,0.7264376589031725,0.8056818007926672,0.24478904535766594,0.15286646947028307
Wine,0.4,42,3,0.7528868360277137,0.7325749709633622,0.8089373976648457,0.24478904535766594,0.14770254953789097
Wine,0.6,42,3,0.7397998460354118,0.7198058445735525,0.8006727978494953,0.20808853407600383,0.13025877485003318
Wine,0.8,42,3,0.7359507313317937,0.7195647042903315,0.8052622585400439,0.20808853407600383,0.12391736445625312
Wine,1.0,42,3,0.7390300230946882,0.722835086747587,0.8045710977469688,0.20808853407600383,0.12194625932154944
Wine,0.0,42,4,0.7344110854503464,0.7163247388779839,0.788654951652593,0.24478904535766594,0.17435524409250952
Wine,0.2,42,4,0.7428791377983064,0.7257095821405812,0.7953135689269631,0.24478904535766594,0.16134036846065897
Wine,0.4,42,4,0.7397998460354118,0.7219648420679349,0.7825655778714888,0.23790855503152927,0.14233870804553625
Wine,0.6,42,4,0.7451886066204773,0.7293758516620983,0.7931565700399235,0.23790855503152927,0.1421781770093561
Wine,0.8,42,4,0.7482678983833718,0.7313476164123647,0.7957105077754065,0.20808853407600383,0.1200629808503534
Wine,1.0,42,4,0.7421093148575828,0.725448122745664,0.7912676006003859,0.20808853407600383,0.11858884924631274
Wine,0.0,43,0,0.7346153846153847,0.7180619509358646,0.8047932730639809,0.24478904535766594,0.16913541295424964
Wine,0.2,43,0,0.7430769230769231,0.7313145414401838,0.8066464410259545,0.23790855503152927,0.14777162210672465
Wine,0.4,43,0,0.7384615384615385,0.7243639792362513,0.80551161445955,0.23790855503152927,0.12893757769512168
Wine,0.6,43,0,0.7484615384615385,0.7368569290318427,0.8068107425153667,0.23790855503152927,0.12816636416999463
Wine,0.8,43,0,0.7446153846153846,0.7321916108215438,0.8093389476043824,0.23790855503152927,0.113916649240131
Wine,1.0,43,0,0.7461538461538462,0.7326663077291218,0.8123778883310279,0.2414093143213143,0.10714046355018766
Wine,0.0,43,1,0.7384615384615385,0.7241610001098363,0.788905701134317,0.24478904535766594,0.16947669123088216
Wine,0.2,43,1,0.7453846153846154,0.7307580883636562,0.7980709222026081,0.24478904535766594,0.14877975413475283
Wine,0.4,43,1,0.7415384615384616,0.7289650037230082,0.7956751772290871,0.24478904535766594,0.14446090501975825
Wine,0.6,43,1,0.7376923076923076,0.7244487265155164,0.792868041704558,0.20808853407600383,0.1318022767301245
Wine,0.8,43,1,0.7446153846153846,0.7298420615128844,0.797336023292602,0.20808853407600383,0.13328160878207373
Wine,1.0,43,1,0.7430769230769231,0.728420636528988,0.7988682302054915,0.20808853407600383,0.12357528308946257
Wine,0.0,43,2,0.745958429561201,0.7164580908032596,0.794880819395349,0.24478904535766594,0.15406380476846457
Wine,0.2,43,2,0.7505773672055427,0.7234266818772046,0.8029171576203665,0.24478904535766594,0.14951723556628765
Wine,0.4,43,2,0.7567359507313318,0.7319508729404144,0.7987778440884075,0.24478904535766594,0.14070227452948214
Wine,0.6,43,2,0.7644341801385681,0.747435558560253,0.7984182364433019,0.20343822829930588,0.11479317073878363
Wine,0.8,43,2,0.7644341801385681,0.747435558560253,0.7984182364433019,0.20343822829930588,0.11479317073878363
Wine,1.0,43,2,0.7621247113163973,0.7418549686315241,0.7984756206419891,0.19474722280360318,0.10683438679148763
Wine,0.0,43,3,0.7405696689761355,0.7142846886595112,0.8027539314552123,0.24478904535766594,0.17920938047565127
Wine,0.2,43,3,0.7397998460354118,0.7037752194047735,0.7987880457237295,0.24478904535766594,0.17345833108582906
Wine,0.4,43,3,0.7421093148575828,0.7047641145569375,0.7964582472570354,0.24478904535766594,0.15799862768450637
Wine,0.6,43,3,0.7382602001539645,0.7223451605602635,0.8008054191086832,0.23790855503152927,0.15273332902562378
Wine,0.8,43,3,0.7397998460354118,0.723543234502977,0.8055542803511402,0.23790855503152927,0.14552119760871748
Wine,1.0,43,3,0.7244033872209392,0.7047682290740844,0.8014340948854102,0.20808853407600383,0.13049867124023692
Wine,0.0,43,4,0.7428791377983064,0.7133382490525347,0.7752011497186967,0.24478904535766594,0.16696914970449533
Wine,0.2,43,4,0.7359507313317937,0.7091977691697695,0.7804838824958903,0.24478904535766594,0.15828578539095295
Wine,0.4,43,4,0.7336412625096228,0.707990509207524,0.7815240920183383,0.24478904535766594,0.14846331195504897
Wine,0.6,43,4,0.7397998460354118,0.7150265591492764,0.7758125121251416,0.20808853407600383,0.13463665073664166
Wine,0.8,43,4,0.7421093148575828,0.717132354614032,0.784861696805089,0.20808853407600383,0.13079963110992907
Wine,1.0,43,4,0.7451886066204773,0.7190819196581699,0.7861010139171101,0.20808853407600383,0.12196331622148973
Wine,0.0,44,0,0.7546153846153846,0.7299340757812668,0.7979117153330225,0.23790855503152927,0.14231797087159848
Wine,0.2,44,0,0.7615384615384615,0.7392598343685299,0.8046671812232693,0.24478904535766594,0.13445221476195876
Wine,0.4,44,0,0.76,0.7349019607843137,0.8007939964999962,0.20808853407600383,0.12732495227694113
Wine,0.6,44,0,0.7615384615384615,0.7363248791543553,0.8019492015457077,0.20808853407600383,0.12142336585304675
Wine,0.8,44,0,0.7569230769230769,0.7317830550615175,0.7974264527945264,0.20808853407600383,0.11738023428596155
Wine,1.0,44,0,0.7630769230769231,0.7396449704142012,0.8088562323757996,0.20808853407600383,0.10748744373873625
Wine,0.0,44,1,0.7507692307692307,0.7168403361344537,0.8054784994306762,0.24478904535766594,0.15457760023590453
Wine,0.2,44,1,0.7423076923076923,0.7172502046770907,0.8024395587040308,0.24478904535766594,0.14277725786071893
Wine,0.4,44,1,0.7438461538461538,0.7224428872864224,0.7992579686222365,0.24478904535766594,0.13733445862974655
Wine,0.6,44,1,0.7484615384615385,0.7205273361870094,0.7946575269186975,0.23790855503152927,0.13722451613083161
Wine,0.8,44,1,0.7607692307692308,0.7350546371991677,0.8091287945365297,0.23790855503152927,0.13058541508677496
Wine,1.0,44,1,0.7607692307692308,0.7347723719799442,0.8099439337088068,0.23790855503152927,0.12406825567915329
Wine,0.0,44,2,0.7729022324865281,0.754235565215551,0.8242946844379153,0.24478904535766594,0.16992270071691662
Wine,0.2,44,2,0.7713625866050808,0.7532435303681426,0.8233752620545074,0.24478904535766594,0.16229139689356098
Wine,0.4,44,2,0.7675134719014627,0.7519889036121423,0.8214178232770712,0.24478904535766594,0.16232828865021223
Wine,0.6,44,2,0.7675134719014627,0.7517842771020302,0.8214305753212239,0.24478904535766594,0.15570166277817507
Wine,0.8,44,2,0.7644341801385681,0.7491138377641445,0.8226318178804062,0.20343822829930588,0.11491739606195735
Wine,1.0,44,2,0.7544264819091608,0.7374844868644366,0.8123970272434671,0.23376351541823873,0.12011092016642504
Wine,0.0,44,3,0.7536566589684373,0.7315200429898623,0.7989053645299342,0.24478904535766594,0.17188721527108797
Wine,0.2,44,3,0.7474980754426482,0.7271176193306417,0.8017681984422103,0.24478904535766594,0.1691980383712535
Wine,0.4,44,3,0.7451886066204773,0.7224246086388981,0.8023866725836151,0.24478904535766594,0.1711778530035784
Wine,0.6,44,3,0.7505773672055427,0.7248802451575116,0.8029299096645192,0.23790855503152927,0.15326878929575238
Wine,0.8,44,3,0.7528868360277137,0.727000964383289,0.8045851249955368,0.23790855503152927,0.14651026854415655
Wine,1.0,44,3,0.7505773672055427,0.7260064579969794,0.7972871301269594,0.20808853407600383,0.12281456384714914
Wine,0.0,44,4,0.75211701308699,0.7318648266100496,0.7962950672371014,0.24478904535766594,0.16456467355867838
Wine,0.2,44,4,0.7490377213240954,0.7223106744166528,0.7969345089189989,0.24478904535766594,0.15598185914844762
Wine,0.4,44,4,0.7490377213240954,0.7223106744166528,0.7965733073302224,0.24478904535766594,0.15535117868214454
Wine,0.6,44,4,0.7421093148575828,0.7179749073396582,0.797556081971063,0.24478904535766594,0.14390795111129606
Wine,0.8,44,4,0.7405696689761355,0.72290271594748,0.7936607206673679,0.23790855503152927,0.13315381885110772
Wine,1.0,44,4,0.7405696689761355,0.7210039099718621,0.7901189029682346,0.23790855503152927,0.1194521275819515
Ionosphere,0.0,42,0,0.9014084507042254,0.8961337513061651,0.9824786324786324,0.17465905955465055,0.17383841136382772
Ionosphere,0.2,42,0,0.8873239436619719,0.8786324786324786,0.9465811965811965,0.13299424003209362,0.14218119954709382
Ionosphere,0.4,42,0,0.8873239436619719,0.8786324786324786,0.9465811965811965,0.13299424003209362,0.14218119954709382
Ionosphere,0.6,42,0,0.8873239436619719,0.8786324786324786,0.9465811965811965,0.13299424003209362,0.14218119954709382
Ionosphere,0.8,42,0,0.8873239436619719,0.8786324786324786,0.941025641025641,0.13893498133004212,0.14666758845032898
