dataset,rep,corr_method,penalty_agg,corr_scope,fit_seconds,accuracy,macro_f1,auc
Synthetic,5,pearson,product,node,0.07725659999414347,0.7933333333333333,0.7932506335867681,0.8349039829302987
Synthetic,6,pearson,product,global,0.06665909998991992,0.81,0.8098288459613652,0.8655538762446657
Synthetic,6,spearman,product,global,0.081122100003995,0.8066666666666666,0.8064516129032258,0.8640424964438123
Synthetic,6,pearson,min,global,0.0755390999984229,0.81,0.8098288459613652,0.8631534495021336
Synthetic,6,pearson,mean,global,0.0688908000010997,0.8033333333333333,0.8026997804059703,0.8566189544807966
Synthetic,6,pearson,product,node,0.07437869999557734,0.8033333333333333,0.8032786885245902,0.8471061522048364
Synthetic,7,pearson,product,global,0.07838939999055583,0.7466666666666667,0.7462606837606838,0.8090104907539118
Synthetic,7,spearman,product,global,0.0900264999945648,0.74,0.7397107897664071,0.8055876600284495
Synthetic,7,pearson,min,global,0.08514819999982137,0.7466666666666667,0.7462606837606838,0.8063655761024182
Synthetic,7,pearson,mean,global,0.07705320000241045,0.7633333333333333,0.7632675743262017,0.8035650782361309
Synthetic,7,pearson,product,node,0.08220239999354817,0.7666666666666667,0.7665732959850606,0.8201902560455192
Synthetic,8,pearson,product,global,0.10360079999372829,0.7766666666666666,0.7766443310997766,0.8188122332859175
Synthetic,8,spearman,product,global,0.08404809999046847,0.7666666666666667,0.7665732959850606,0.8189011379800853
Synthetic,8,pearson,min,global,0.07574539999768604,0.7766666666666666,0.7766443310997766,0.8129667496443813
Synthetic,8,pearson,mean,global,0.07830850000027567,0.73,0.7299969999666662,0.8008534850640114
Synthetic,8,pearson,product,node,0.11203469999600202,0.79,0.7898108297467721,0.8300364509246088
Synthetic,9,pearson,product,global,0.06728390000353102,0.7733333333333333,0.7723214285714286,0.8353929587482218
Synthetic,9,spearman,product,global,0.0969290000066394,0.7766666666666666,0.7759472082576273,0.8380378733997155
Synthetic,9,pearson,min,global,0.11570120000396855,0.7766666666666666,0.7759472082576273,0.8416162873399715
Synthetic,9,pearson,mean,global,0.11090589998639189,0.7866666666666666,0.7857142857142858,0.8461948790896159
Synthetic,9,pearson,product,node,0.09208899999794085,0.7733333333333333,0.7723214285714286,0.8353929587482218
