dataset,method,seed,fold,selected_alpha,selected_rrf_lambda,fold_tuned_alpha,fold_tuned_rrf_lambda,accuracy,macro_f1,auc,n_nodes,depth,vif_dropped,main_set_redundancy,main_weighted_redundancy,root_agreement,feature_set_jaccard,importance_rank_corr,top5_jaccard,structural_distance,bootstrap_set_redundancy,bootstrap_weighted_redundancy
Wine,VIF+CART,42,0,1.0,0.9,1.0,0.9,0.7338461538461538,0.7075232459847844,0.7840479811295281,109,6,1,0.2379085550315292,0.1542066831121813,1.0,0.996,0.7785882214315671,0.6689795918367347,0.5576279188833637,0.2378256542392634,0.1667230282717295
Wine,RRF-style,42,0,1.0,0.9,1.0,0.9,0.7346153846153847,0.7096784842951271,0.7846032946906418,109,6,0,0.2447890453576659,0.1623017054893767,1.0,0.951294990723562,0.6608954206655937,0.6122934888241011,0.5807658080893189,0.2449603786846315,0.1808408032730214
Wine,ACP-Gini,42,0,1.0,0.9,1.0,0.9,0.7315384615384616,0.7093751341185393,0.7892279358383578,107,6,0,0.2080885340760038,0.1054444607028043,1.0,0.921806019377448,0.8751965797579975,0.6933722060252673,0.5208766825492029,0.2150542050356365,0.1306154125244506
Wine,CART,42,1,1.0,0.9,0.8,0.5,0.7476923076923077,0.7254523211641234,0.7919331789663526,117,6,0,0.2447890453576659,0.1718210242468791,1.0,0.9927272727272728,0.6034508348794063,0.5420602526724976,0.5781552180983376,0.2444758689208858,0.1823731055669297
Wine,VIF+CART,42,1,1.0,0.9,0.8,0.5,0.75,0.7283501499057101,0.7980148813845138,115,6,1,0.2379085550315292,0.1598082768199831,1.0,1.0,0.7271243042671615,0.5669484936831876,0.5576450604635402,0.2379085550315292,0.1666546701883522
Wine,RRF-style,42,1,1.0,0.9,0.8,0.5,0.7461538461538462,0.7227098679090644,0.792666804221402,117,6,0,0.2447890453576659,0.1824371393240892,1.0,0.9629090909090908,0.5923433657823032,0.529067055393586,0.5744456276726868,0.2434869698534094,0.1814986180347117
Wine,ACP-Gini,42,1,1.0,0.9,0.8,0.5,0.7384615384615385,0.7128855907541365,0.8032215828474338,117,6,0,0.2055595719045704,0.1128577096734517,1.0,0.8652541743970316,0.827958230024294,0.6649173955296405,0.5001852167686504,0.2200370458060125,0.1230324538501316
Wine,CART,42,2,1.0,0.9,1.0,0.9,0.7598152424942263,0.7408975834292291,0.8019403510382714,119,6,0,0.2447890453576659,0.1782726905193678,1.0,0.9754359925788498,0.6834730983302413,0.6270068027210884,0.5664607816094578,0.2454832058656094,0.1843162687762738
Wine,VIF+CART,42,2,1.0,0.9,1.0,0.9,0.7590454195535027,0.7397151883540268,0.7968510102169377,121,6,1,0.2379085550315292,0.1723430086442407,1.0,0.9841632653061224,0.7761646076543048,0.6578328474246843,0.5439742567756373,0.2377016667356554,0.1711667435048061
Wine,RRF-style,42,2,1.0,0.9,1.0,0.9,0.7575057736720554,0.7353309293187367,0.8041719587649901,119,6,0,0.2447890453576659,0.1680544479977019,1.0,0.9488682745825604,0.7062054493185983,0.6702526724975705,0.5668205017755543,0.2458473446519123,0.1829559965638195
Wine,ACP-Gini,42,2,1.0,0.9,1.0,0.9,0.7513471901462664,0.7318827197375426,0.799352961279693,121,6,0,0.2379085550315292,0.1230468549755798,1.0,0.9060977118119976,0.8407414154850105,0.6437220602526725,0.4907989032540463,0.2194867874959173,0.1289297130140461
Wine,CART,42,3,1.0,0.9,1.0,0.9,0.7467282525019245,0.7266569747175722,0.8065553158171254,113,6,0,0.2447890453576659,0.1646053483672142,1.0,0.9928756957328384,0.6561113172541744,0.6080369290573372,0.5635672994271675,0.2445138257446204,0.1832165950769374
Wine,VIF+CART,42,3,1.0,0.9,1.0,0.9,0.7490377213240954,0.729271192942079,0.8097637301259392,115,6,1,0.2379085550315292,0.1561696431075565,1.0,0.996,0.7521282328275369,0.6006608357628767,0.5510605850174967,0.2379785702173249,0.1697966276161876
Wine,RRF-style,42,3,1.0,0.9,1.0,0.9,0.7490377213240954,0.729271192942079,0.8119558065157845,115,6,0,0.2379085550315292,0.1563345366904073,1.0,0.9510871985157698,0.6517587788354844,0.5902235179786202,0.5657219697663153,0.2437373147608255,0.1818093010600092
Wine,ACP-Gini,42,3,1.0,0.9,1.0,0.9,0.7390300230946882,0.722835086747587,0.8045710977469688,117,6,0,0.2080885340760038,0.1219462593215494,1.0,0.8938742527313956,0.8098006529405881,0.6518950437317785,0.5000241768389757,0.2237543943571827,0.1297631433671472
Wine,CART,42,4,1.0,0.9,1.0,0.9,0.7344110854503464,0.7163247388779839,0.788654951652593,119,6,0,0.2447890453576659,0.1743552440925095,1.0,0.9963636363636365,0.7295584415584416,0.6622643343051507,0.5452190805988824,0.2446514355511431,0.1844333587450704
Wine,VIF+CART,42,4,1.0,0.9,1.0,0.9,0.7344110854503464,0.7163247388779839,0.7853007545667113,119,6,1,0.2379085550315292,0.1687058808078887,1.0,1.0,0.8129424860853434,0.6460738581146744,0.533412313921156,0.2379085550315292,0.1718246340306816
Wine,RRF-style,42,4,1.0,0.9,1.0,0.9,0.7390300230946882,0.7214888133449284,0.7905375394386186,119,6,0,0.2447890453576659,0.1679392757952759,1.0,0.968,0.7333016207699011,0.6745189504373178,0.5526647188044772,0.2444866300297912,0.1815900821964977
Wine,ACP-Gini,42,4,1.0,0.9,1.0,0.9,0.7421093148575828,0.725448122745664,0.7912676006003859,121,6,0,0.2080885340760038,0.1185888492463127,1.0,0.9187301587301588,0.8647694482574239,0.7229154518950438,0.5005053156229391,0.2211768645052888,0.1302306112345336
Wine,CART,43,0,1.0,0.9,1.0,0.9,0.7346153846153847,0.7180619509358646,0.8047932730639809,113,6,0,0.2447890453576659,0.1691354129542496,1.0,1.0,0.6156883116883117,0.5724586977648203,0.5578097727170254,0.2447890453576659,0.1862572006228187
Wine,VIF+CART,43,0,1.0,0.9,1.0,0.9,0.7369230769230769,0.7180908804999544,0.8062707128137332,115,6,1,0.2379085550315292,0.1586863843075143,1.0,0.996,0.7382998754881228,0.6082021379980563,0.5387762017462235,0.2380683035002497,0.1713959873647058
Wine,RRF-style,43,0,1.0,0.9,1.0,0.9,0.7407692307692307,0.7227985388869802,0.8090740273733924,115,6,0,0.2379085550315292,0.1578043509164693,1.0,0.96830426716141,0.613403291362383,0.5558989310009719,0.5680227633248222,0.2446364787005949,0.1841103290839629
Wine,ACP-Gini,43,0,1.0,0.9,1.0,0.9,0.7461538461538462,0.7326663077291218,0.8123778883310279,113,6,0,0.2414093143213143,0.1071404635501876,1.0,0.8948979591836734,0.8142576454302204,0.6628862973760933,0.5201470216551515,0.2180994244341356,0.1320132183899333
Wine,CART,43,1,1.0,0.9,1.0,0.5,0.7384615384615385,0.7241610001098363,0.788905701134317,113,6,0,0.2447890453576659,0.1694766912308821,1.0,0.9755844155844156,0.6592356215213359,0.5945189504373178,0.5797107921544945,0.243945739671078,0.1774136367899824
Wine,VIF+CART,43,1,1.0,0.9,1.0,0.5,0.7338461538461538,0.7199078398405878,0.7865137771256664,113,6,1,0.2379085550315292,0.1501840659451501,1.0,0.996,0.749954559290805,0.6042662779397473,0.5580149625652605,0.2373121546124187,0.1654706693051422
Wine,RRF-style,43,1,1.0,0.9,1.0,0.5,0.7369230769230769,0.7231458994956099,0.7903411102704987,113,6,0,0.2398079647307797,0.1768455744972533,1.0,0.9528014842300556,0.6638070500927644,0.5966277939747329,0.5825688364061803,0.2433681770607575,0.1757058422283954
Wine,ACP-Gini,43,1,1.0,0.9,1.0,0.5,0.7430769230769231,0.728420636528988,0.7988682302054915,117,6,0,0.2080885340760038,0.1235752830894625,1.0,0.8898177695320552,0.8521784025612074,0.6572983479105928,0.5308531086975071,0.2156900346257975,0.1234920595023024
Wine,CART,43,2,1.0,0.9,1.0,0.9,0.745958429561201,0.7164580908032596,0.794880819395349,111,6,0,0.2447890453576659,0.1540638047684645,1.0,0.9892393320964752,0.6941818181818182,0.6247230320699709,0.5667781195473216,0.2447727477985327,0.1782154213709873
Wine,VIF+CART,43,2,1.0,0.9,1.0,0.9,0.7505773672055427,0.7251648190908047,0.7978711737491518,111,6,1,0.2379085550315292,0.1457439238042828,1.0,0.992,0.763749979993052,0.6288241010689991,0.5485949403692119,0.2372721812211841,0.1671377055494457
Wine,RRF-style,43,2,1.0,0.9,1.0,0.9,0.745958429561201,0.7164580908032596,0.794880819395349,111,6,0,0.2447890453576659,0.1540638047684645,1.0,0.9516141001855288,0.6959183673469389,0.634402332361516,0.5703453467250001,0.2442860311886789,0.1776286753200072
Wine,ACP-Gini,43,2,1.0,0.9,1.0,0.9,0.7621247113163973,0.7418549686315241,0.7984756206419891,111,6,0,0.1947472228036031,0.1068343867914876,1.0,0.9291133786848074,0.8622790454185634,0.6830709426627795,0.4977884370339663,0.2152820436906144,0.1274097388066646
Wine,CART,43,3,1.0,0.9,1.0,0.9,0.7405696689761355,0.7142846886595112,0.8027539314552123,113,6,0,0.2447890453576659,0.1792093804756512,1.0,0.9787755102040816,0.6781595547309833,0.608377065111759,0.5587563260782699,0.2459583696284374,0.1882240380410513
Wine,VIF+CART,43,3,1.0,0.9,1.0,0.9,0.7421093148575828,0.7150944643875445,0.8040648415941076,113,6,1,0.2379085550315292,0.1705739902974136,1.0,0.980326530612245,0.7752370977752366,0.6115063168124393,0.5497681734953518,0.238663884531542,0.1730922320371279
Wine,RRF-style,43,3,1.0,0.9,1.0,0.9,0.7405696689761355,0.7044707804372555,0.8010413319255077,113,6,0,0.2447890453576659,0.177821884295276,1.0,0.9414990723562152,0.6885511469131885,0.5966666666666667,0.570607687979713,0.2454671925153569,0.1864800858679616
